month_start,month_label,feature_area,eligible_accounts,adopting_accounts,adoption_rate,events,users_using
2025-05-01,2025-05,integrations,443,211,0.4763,7000,2421
2025-05-01,2025-05,reporting,443,216,0.4876,16012,3803
2025-06-01,2025-06,admin,450,407,0.9044,14609,4700
2025-06-01,2025-06,automation,450,200,0.4444,2968,1486
2025-06-01,2025-06,collaboration,450,229,0.5089,18592,4110
2025-06-01,2025-06,documents,450,214,0.4756,18637,4162
2025-06-01,2025-06,integrations,450,219,0.4867,7187,2529
2025-06-01,2025-06,reporting,450,222,0.4933,16382,3931
2025-07-01,2025-07,admin,451,410,0.9091,15968,5041
2025-07-01,2025-07,automation,451,208,0.4612,3147,1596
2025-07-01,2025-07,collaboration,451,229,0.5078,20002,4348
2025-07-01,2025-07,documents,451,218,0.4834,21127,4463
2025-07-01,2025-07,integrations,451,223,0.4945,7837,2680
2025-07-01,2025-07,reporting,451,222,0.4922,17879,4172
2025-08-01,2025-08,admin,460,414,0.9,14736,4851
2025-08-01,2025-08,automation,460,213,0.463,3054,1542
2025-08-01,2025-08,collaboration,460,238,0.5174,18826,4292
2025-08-01,2025-08,documents,460,220,0.4783,19329,4409
2025-08-01,2025-08,integrations,460,227,0.4935,7426,2667
2025-08-01,2025-08,reporting,460,227,0.4935,16462,4109
2025-09-01,2025-09,admin,465,426,0.9161,15548,5128
2025-09-01,2025-09,automation,465,208,0.4473,3172,1594
2025-09-01,2025-09,collaboration,465,242,0.5204,20398,4468
2025-09-01,2025-09,documents,465,225,0.4839,20988,4549
2025-09-01,2025-09,integrations,465,230,0.4946,8085,2895
2025-09-01,2025-09,reporting,465,230,0.4946,17586,4280
2025-10-01,2025-10,admin,470,429,0.9128,15831,5172
2025-10-01,2025-10,automation,470,215,0.4574,3113,1638
2025-10-01,2025-10,collaboration,470,238,0.5064,21235,4589
2025-10-01,2025-10,documents,470,227,0.483,22284,4712
2025-10-01,2025-10,integrations,470,239,0.5085,8045,2900
2025-10-01,2025-10,reporting,470,234,0.4979,17934,4371
2025-11-01,2025-11,admin,472,421,0.8919,14754,5023
2025-11-01,2025-11,automation,472,219,0.464,3017,1574
2025-11-01,2025-11,collaboration,472,242,0.5127,19511,4526
2025-11-01,2025-11,documents,472,230,0.4873,20987,4619
2025-11-01,2025-11,integrations,472,238,0.5042,7774,2822
2025-11-01,2025-11,reporting,472,233,0.4936,17309,4371
2025-12-01,2025-12,admin,478,433,0.9059,16302,5325
2025-12-01,2025-12,automation,478,222,0.4644,3471,1770
2025-12-01,2025-12,collaboration,478,246,0.5146,21943,4750
2025-12-01,2025-12,documents,478,233,0.4874,23602,4939
2025-12-01,2025-12,integrations,478,245,0.5126,8921,3073
2025-12-01,2025-12,reporting,478,238,0.4979,19018,4579
2026-01-01,2026-01,admin,478,429,0.8975,16366,5258
2026-01-01,2026-01,automation,478,222,0.4644,3502,1737
2026-01-01,2026-01,collaboration,478,242,0.5063,22402,4724
2026-01-01,2026-01,documents,478,232,0.4854,23869,4841
2026-01-01,2026-01,integrations,478,242,0.5063,9014,3130
2026-01-01,2026-01,reporting,478,240,0.5021,19457,4585
2026-02-01,2026-02,admin,476,431,0.9055,16219,5218
2026-02-01,2026-02,automation,476,221,0.4643,3616,1761
2026-02-01,2026-02,collaboration,476,243,0.5105,23060,4776
2026-02-01,2026-02,documents,476,232,0.4874,24344,4960
2026-02-01,2026-02,integrations,476,242,0.5084,8996,3119
2026-02-01,2026-02,reporting,476,236,0.4958,19536,4536
2026-03-01,2026-03,admin,474,424,0.8945,15877,5189
2026-03-01,2026-03,automation,474,211,0.4451,3539,1742
2026-03-01,2026-03,collaboration,474,242,0.5105,22842,4766
2026-03-01,2026-03,documents,474,231,0.4873,24421,4925
2026-03-01,2026-03,integrations,474,238,0.5021,9021,3087
2026-03-01,2026-03,reporting,474,238,0.5021,19664,4532
2026-04-01,2026-04,admin,475,427,0.8989,16418,5287
2026-04-01,2026-04,automation,475,219,0.4611,3630,1750
2026-04-01,2026-04,collaboration,475,242,0.5095,23103,4794
2026-04-01,2026-04,documents,475,231,0.4863,25303,4959
2026-04-01,2026-04,integrations,475,242,0.5095,9005,3099
2026-04-01,2026-04,reporting,475,238,0.5011,20380,4575
2026-05-01,2026-05,admin,468,421,0.8996,14640,4944
2026-05-01,2026-05,automation,468,224,0.4786,3301,1654
2026-05-01,2026-05,collaboration,468,238,0.5085,21152,4554
2026-05-01,2026-05,documents,468,229,0.4893,23358,4792
2026-05-01,2026-05,integrations,468,235,0.5021,8638,2985
2026-05-01,2026-05,reporting,468,235,0.5021,18630,4365
2026-06-01,2026-06,admin,467,415,0.8887,16159,5088
2026-06-01,2026-06,automation,467,223,0.4775,3718,1794
2026-06-01,2026-06,collaboration,467,240,0.5139,23067,4635
2026-06-01,2026-06,documents,467,226,0.4839,25298,4773
2026-06-01,2026-06,integrations,467,236,0.5054,9154,3067
2026-06-01,2026-06,reporting,467,235,0.5032,20362,4565
2026-07-01,2026-07,admin,466,410,0.8798,15702,5102
2026-07-01,2026-07,automation,466,213,0.4571,3605,1753
2026-07-01,2026-07,collaboration,466,238,0.5107,23021,4647
2026-07-01,2026-07,documents,466,225,0.4828,24655,4771
2026-07-01,2026-07,integrations,466,238,0.5107,9006,2991
2026-07-01,2026-07,reporting,466,236,0.5064,19776,4502
